Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Arthur Berger,Homme,56,Plateau,Développeur,IT,1/28/2016,422213.72,100182.87,Consultant,522396.58999999997
Nathalie Paris,Homme,58,Littoral,Développeur,RH,11/10/2015,350045.87,50035.29,Stage,400081.16
Alain Bouvet,Femme,59,Alibori,Manager,IT,4/17/2023,293683.33,33728.14,Consultant,327411.47000000003
Henri Roger,Homme,59,Atlantique,Technicien,Technique,4/24/2018,326145.03,62431.64,CDD,388576.67000000004
Robert Marchal,Homme,28,Alibori,Comptable,Commercial,4/15/2023,271829.4,67764.22,CDD,339593.62
Alexandrie Dubois de la Baudry,Homme,43,Ouémé,Commercial,Commercial,4/26/2019,487079.17,136864.05,CDI,623943.22
Christine Le Chartier,Femme,58,Littoral,Manager,RH,11/5/2019,403353.55,14460.31,CDI,417813.86
Susanne Vincent-Le Goff,Femme,28,Alibori,Chargé de clientèle,Commercial,8/31/2017,185885.65,15792.2,CDD,201677.85
Frédéric Salmon Le Rocher,Homme,33,Ouémé,Technicien,IT,5/29/2016,471325.06,47206.14,CDD,518531.2
Eugène de Blot,Homme,22,Collines,Développeur,Finance,8/12/2019,392395.53,75034.32,CDI,467429.85000000003
Franck Meyer,Femme,32,Zou,Comptable,IT,10/2/2023,316385.92,35837.79,CDI,352223.70999999996
Dominique Le Michaud,Homme,39,Couffo,Manager,RH,1/30/2022,202575,10520.38,CDD,213095.38
Thierry Weiss,Homme,55,Couffo,Manager,Technique,9/28/2024,94640.39,9148.32,Stage,103788.70999999999
Aimé Gautier,Femme,54,Alibori,Développeur,RH,7/15/2021,296456.1,45152.45,CDD,341608.55
Guy Pottier,Femme,27,Borgou,Chargé de clientèle,Technique,4/5/2016,217868.42,28862.65,CDI,246731.07
Henri-Hugues Dupont,Femme,47,Donga,Technicien,IT,8/20/2016,473704.73,112308.11,Consultant,586012.84
Alice Hernandez-Laurent,Homme,22,Atlantique,Comptable,IT,11/29/2015,469281.31,140000.73,CDD,609282.04
Margaret Antoine,Homme,35,Atlantique,Chargé de clientèle,Technique,6/8/2023,161220.35,2406.09,Stage,163626.44
Marcel Guyot,Homme,44,Borgou,Comptable,IT,1/20/2020,263502.61,52680.14,CDD,316182.75
Thibault Boutin,Homme,59,Donga,Développeur,IT,3/21/2018,382587.55,46363.64,Consultant,428951.19
Gérard Riou,Femme,54,Collines,Comptable,Support,1/7/2021,397886.07,96692.76,Consultant,494578.83
Alexandria Torres,Homme,55,Atacora,Chargé de clientèle,Support,7/27/2020,323137.95,55018.45,CDI,378156.4
Nicolas-Alain Bertrand,Femme,40,Mono,Développeur,RH,3/14/2023,477091.3,38118.65,Stage,515209.95
Augustin Sanchez,Homme,45,Littoral,Développeur,Technique,10/8/2016,300050.94,34873.29,CDI,334924.23
Nicole Mathieu,Femme,36,Alibori,Comptable,RH,12/1/2015,431233.73,30985.22,Consultant,462218.94999999995
Corinne Pottier,Homme,46,Alibori,Manager,IT,7/5/2016,278366.96,74347.04,CDI,352714
Aurore Evrard,Homme,46,Collines,Manager,Technique,12/21/2020,223459.71,46946.52,CDI,270406.23
André Gaillard,Femme,47,Donga,Comptable,RH,8/13/2017,499222.16,84485.32,CDI,583707.48
Denis Guillon,Homme,22,Atacora,Technicien,IT,2/29/2020,242061.28,31456.82,Consultant,273518.1
Michel Evrard,Femme,47,Collines,Développeur,IT,10/2/2019,490998.87,4079.3,CDI,495078.17
Michel Lévy,Homme,36,Atlantique,Développeur,IT,3/18/2017,93328.89,12111.24,CDI,105440.13
Sylvie Gaillard,Homme,59,Alibori,Comptable,Commercial,5/10/2018,354637.48,18349.42,Stage,372986.89999999997
Thomas Vasseur-Paul,Femme,45,Couffo,Commercial,IT,1/28/2019,205018.91,51020.7,Stage,256039.61
Michelle Lopez,Femme,51,Zou,Développeur,Support,5/7/2019,338042.86,34623.65,CDD,372666.51
Philippe Masson,Homme,22,Mono,RH,Support,2/21/2016,318885.66,38795.86,Stage,357681.51999999996
Éléonore de Pasquier,Femme,48,Atacora,RH,RH,7/17/2018,336859.99,83304.78,Consultant,420164.77
Bernard Moulin,Femme,59,Mono,Développeur,IT,2/25/2018,236470.58,15886.39,CDD,252356.96999999997
Capucine de la Pascal,Homme,42,Collines,Technicien,Technique,5/5/2023,85795.64,23495.83,CDD,109291.47
Nicole Ollivier,Homme,25,Atlantique,Chargé de clientèle,Commercial,11/15/2015,101422.36,29972.86,CDD,131395.22
Daniel Mercier du Charrier,Femme,39,Donga,Commercial,Support,7/30/2016,226915.56,21167.37,Consultant,248082.93
Hélène-Anastasie Pottier,Femme,56,Donga,Manager,RH,8/4/2023,412637.9,117187.56,Stage,529825.46
Dominique Charpentier,Homme,37,Mono,Chargé de clientèle,Finance,7/24/2016,385871.57,87864.83,CDD,473736.4
Alphonse-Jules Toussaint,Homme,56,Zou,Technicien,RH,10/14/2016,287987.98,68539.4,Consultant,356527.38
Jacqueline Guichard,Femme,42,Zou,Comptable,Support,7/6/2023,258415.2,43150.65,CDI,301565.85000000003
Julien Rousseau,Femme,47,Zou,Chargé de clientèle,Commercial,1/9/2020,458488.55,20132.44,Stage,478620.99
Aimée Marie,Femme,57,Couffo,Chargé de clientèle,RH,4/16/2020,123175.51,6264.4,Consultant,129439.90999999999
Véronique Pires,Femme,55,Donga,RH,Support,11/5/2020,199372.6,10189.2,CDD,209561.80000000002
René Hubert,Homme,25,Collines,Développeur,Support,2/27/2017,320550.59,1424.25,CDD,321974.84
Andrée Diaz,Femme,54,Ouémé,Technicien,Commercial,6/11/2022,457078.36,21619.7,Consultant,478698.06
Brigitte Neveu-Gallet,Homme,34,Zou,Comptable,RH,2/22/2021,283461.13,71907.68,CDI,355368.81
Marc Mathieu,Femme,34,Atlantique,Commercial,RH,8/24/2020,289500.68,83614.09,Consultant,373114.77
Arnaude Gosselin,Femme,59,Atlantique,Comptable,RH,4/11/2016,222927.56,31694.26,CDI,254621.82
Stéphanie Marin,Femme,27,Atacora,Chargé de clientèle,Finance,2/3/2023,476007.19,117477.23,Stage,593484.42
Étienne Ferrand-Gauthier,Homme,60,Borgou,Chargé de clientèle,Support,2/4/2019,272509.52,22089.39,Consultant,294598.91000000003
Capucine Boutin,Homme,30,Plateau,RH,Technique,9/26/2018,419984.19,27740.59,Stage,447724.78
Suzanne Philippe,Homme,55,Borgou,Chargé de clientèle,Commercial,4/27/2022,250553.4,6966.69,CDD,257520.09
Amélie Texier,Femme,60,Borgou,Développeur,Support,2/18/2020,214750.64,26097.75,CDD,240848.39
Océane Le Roux,Homme,56,Littoral,Chargé de clientèle,IT,12/1/2019,117846.06,18814.35,CDI,136660.41
André Lefort,Homme,60,Mono,Développeur,RH,9/14/2023,472201,6485.42,CDD,478686.42
Isaac-Bertrand Collin,Homme,44,Donga,Chargé de clientèle,Support,1/12/2023,466605.95,41864.1,Stage,508470.05
Patricia Le Maillet,Homme,57,Donga,Commercial,Commercial,3/11/2023,93735.23,5220.79,CDD,98956.01999999999
Henri Gay,Femme,30,Mono,Comptable,Support,8/3/2022,118679.68,688.7,Stage,119368.37999999999
Richard Brunet,Homme,39,Borgou,Développeur,RH,8/22/2023,494351.25,77733.22,Stage,572084.47
Noémi Diaz,Femme,28,Zou,Manager,RH,11/10/2015,370039.89,56615.65,CDD,426655.54000000004
Roland Chrétien,Femme,60,Atacora,Commercial,RH,6/20/2018,358610.17,1014.79,CDI,359624.95999999996
Emmanuelle Alexandre,Femme,22,Alibori,Chargé de clientèle,RH,12/9/2020,316501.02,17872.23,Consultant,334373.25
Patrick Meyer du Roussel,Homme,41,Atlantique,Technicien,RH,8/8/2020,322558.78,71165.34,CDD,393724.12
Lucas Hoareau,Homme,32,Atlantique,Technicien,Finance,9/14/2020,454919.16,127238.2,Consultant,582157.36
Geneviève Charrier,Homme,58,Ouémé,Développeur,IT,8/18/2019,231569.39,26366.25,Stage,257935.64
Maurice Aubert,Femme,33,Mono,RH,RH,9/30/2024,335511.95,96167.46,CDD,431679.41000000003
Valérie Ruiz,Homme,34,Littoral,Commercial,RH,9/8/2022,400559.32,88795.85,Consultant,489355.17000000004
Auguste-Julien Payet,Homme,33,Couffo,Chargé de clientèle,Support,4/17/2017,138988.91,40447.68,Consultant,179436.59
Marthe Clerc,Femme,26,Ouémé,Manager,Commercial,9/4/2018,260875.93,44526.21,Consultant,305402.14
Marie Brunet,Homme,31,Donga,Manager,Commercial,9/18/2024,363078.62,33931.73,CDI,397010.35
Sébastien Boutin,Femme,40,Mono,Comptable,Finance,8/12/2022,146148.29,18820.87,CDI,164969.16
Maryse Millet,Femme,32,Zou,RH,IT,12/5/2023,359754.56,70208.27,Consultant,429962.83
Marc Rossi,Femme,59,Littoral,Commercial,Commercial,10/11/2020,152997.83,44471.75,Consultant,197469.58
Isabelle Royer,Homme,35,Couffo,Commercial,Technique,10/14/2020,111567.91,29176.62,Consultant,140744.53
Lorraine Ferrand de la Denis,Homme,58,Zou,Comptable,Finance,1/20/2019,157973.63,22274.11,CDD,180247.74
Élisabeth Renaud de la Lejeune,Homme,56,Couffo,Comptable,Technique,10/7/2022,90164.38,4344.76,Stage,94509.14
Odette Rousseau,Femme,25,Atlantique,Manager,Commercial,1/15/2017,299943.12,25018.9,Consultant,324962.02
Alain Mace-Didier,Femme,47,Ouémé,RH,Support,10/30/2018,151761.89,16605.14,Stage,168367.03000000003
Zacharie Boutin,Homme,54,Couffo,Comptable,Technique,12/12/2015,143688.51,3800.22,Consultant,147488.73
Julien Turpin,Homme,50,Couffo,Comptable,Finance,7/26/2022,375631.26,93224.63,Consultant,468855.89
Xavier Bigot,Femme,22,Couffo,Technicien,Support,8/15/2024,339744.82,40319.78,CDI,380064.6
Alix-Susan Lemoine,Homme,27,Borgou,Technicien,RH,10/20/2016,306146.44,2499.22,Consultant,308645.66
Mathilde Samson,Femme,27,Collines,Technicien,Technique,3/24/2018,146261.59,34429.22,CDI,180690.81
Richard De Sousa,Femme,60,Borgou,Comptable,Commercial,3/19/2018,416702.89,78257.52,Stage,494960.41000000003
Andrée-Frédérique Arnaud,Femme,54,Borgou,Développeur,Technique,2/8/2021,262132.15,41095.24,CDD,303227.39
Corinne Marques,Homme,26,Borgou,Commercial,Commercial,8/29/2023,417296.39,120880.23,Stage,538176.62
Margaux Monnier-Dufour,Homme,56,Plateau,Technicien,RH,1/2/2018,134728.12,2889.89,Stage,137618.01
Isabelle-Brigitte Chauvet,Homme,23,Borgou,Comptable,Support,6/26/2018,138059.14,4218.01,CDI,142277.15000000002
Jean Guillet,Homme,50,Ouémé,RH,Support,6/13/2017,264191.34,45864.63,CDI,310055.97000000003
Susanne Techer-Grenier,Femme,59,Alibori,Développeur,Commercial,7/27/2016,464576.26,3960.23,Consultant,468536.49
Denise Pires,Femme,29,Atacora,Commercial,Commercial,1/6/2021,331659.51,83414.49,CDI,415074
Guillaume Le Lemaître,Homme,55,Littoral,Comptable,IT,6/12/2024,255481.35,34750.88,Stage,290232.23
Colette de Georges,Homme,49,Ouémé,Comptable,Finance,7/8/2017,386650.2,67311.87,CDD,453962.07
Daniel Barbier,Homme,52,Mono,Commercial,RH,4/29/2016,93071.51,24261.17,Stage,117332.68
Gilles Lemonnier,Homme,43,Plateau,Commercial,Finance,1/3/2019,387778.49,742.34,Stage,388520.83
Élodie Didier de Marin,Homme,54,Atacora,Comptable,Support,8/12/2021,429132.21,52261.79,Stage,481394
Simone Evrard,Femme,56,Borgou,Commercial,Support,10/18/2023,446260.49,53976.06,CDD,500236.55
Thérèse Pelletier,Homme,41,Borgou,Technicien,IT,5/21/2023,280132.69,59676.27,Stage,339808.96
Clémence Gilles,Femme,52,Collines,Développeur,Finance,8/24/2020,181739.36,8294.33,Consultant,190033.68999999997
Thibaut Mary de la Leleu,Homme,51,Collines,Développeur,IT,4/28/2024,366502.92,87053.42,CDD,453556.33999999997
Stéphane Duval,Femme,27,Ouémé,Chargé de clientèle,RH,3/4/2020,104215.97,853.74,CDD,105069.71
Margaud Millet,Femme,30,Mono,Comptable,IT,2/27/2020,430209.3,86868.06,Stage,517077.36
Adrien Bruneau de Lefèvre,Femme,31,Littoral,Comptable,IT,1/4/2020,311774,53085.77,Consultant,364859.77
Françoise Fleury,Homme,22,Plateau,RH,Technique,10/18/2023,306353.31,74787.35,Consultant,381140.66000000003
Roger Hernandez,Femme,57,Alibori,Technicien,Technique,3/2/2020,413821.75,105879.57,CDD,519701.32
Louis Le Pruvost,Homme,49,Alibori,Technicien,Support,8/24/2022,499092.81,45804.48,CDD,544897.29
Éric Le Guillaume,Femme,33,Plateau,Commercial,Support,7/7/2023,231760.22,7348.24,CDD,239108.46
Anaïs Bodin,Femme,41,Mono,Chargé de clientèle,Finance,5/6/2020,241826.44,48783.77,CDD,290610.21
Éric de Blin,Homme,57,Plateau,Comptable,Support,7/16/2024,387805.56,9134.3,CDI,396939.86
Anouk Delaunay,Femme,31,Alibori,Développeur,Finance,3/11/2023,438298.99,129120.57,CDD,567419.56
Virginie Gérard Le Goncalves,Homme,54,Plateau,Développeur,Finance,2/9/2019,222251.83,6603.09,CDD,228854.91999999998
Maggie-Anne Pottier,Homme,59,Plateau,Chargé de clientèle,Finance,12/16/2017,242294.62,33176.08,Stage,275470.7
Maggie Mary du Cousin,Femme,37,Borgou,Manager,RH,6/16/2018,425826.11,75284.13,Stage,501110.24
Marcel Riou,Femme,57,Atlantique,Développeur,IT,7/15/2024,392528.98,99819.65,CDI,492348.63
Anne Guillot,Homme,37,Donga,Comptable,Technique,8/21/2019,342633.69,82706.26,CDI,425339.95
Richard-René Lacroix,Homme,45,Donga,Développeur,Commercial,5/22/2016,484704.08,47347.62,CDD,532051.7000000001
Étienne Perrier,Femme,24,Littoral,Chargé de clientèle,Technique,12/22/2018,276993.9,78778.19,CDI,355772.09
Xavier Adam de Traore,Homme,29,Atacora,Chargé de clientèle,Finance,5/21/2021,444229.97,33448.83,CDI,477678.8
Bernard de Bouvier,Femme,51,Atlantique,Manager,Support,2/3/2017,470292.49,118803.08,Consultant,589095.57
Bernard-Nicolas Lévêque,Homme,58,Mono,Comptable,Technique,7/21/2018,424498.02,64909.5,Stage,489407.52
Agathe Faivre,Femme,48,Plateau,Technicien,Support,5/23/2022,269230.85,32005.43,Consultant,301236.27999999997
Hélène Royer,Femme,39,Littoral,RH,Finance,8/16/2016,196833.75,13982.62,CDI,210816.37
Susanne Gautier de Moreau,Femme,50,Atacora,Manager,Commercial,2/1/2024,284548.7,62376.57,CDI,346925.27
Mathilde Joseph-Bouvier,Femme,50,Atacora,Manager,Technique,2/28/2021,300394.93,68549.05,CDD,368943.98
Joséphine Vallet,Homme,28,Ouémé,RH,Support,2/15/2019,290951.55,70992.35,CDI,361943.9
Agathe Roger,Femme,42,Borgou,Développeur,RH,2/13/2017,234320.76,37843.85,CDD,272164.61
Julie Jacques Le Berger,Femme,50,Plateau,RH,IT,9/7/2023,160535.73,13954.96,CDI,174490.69
Guy Moreau,Homme,25,Atlantique,Chargé de clientèle,IT,11/28/2020,493351.99,111008.89,Consultant,604360.88
Philippe Ledoux,Femme,31,Collines,Chargé de clientèle,Commercial,1/17/2018,199380.6,8705.95,Consultant,208086.55000000002
Éric Rodriguez-Renard,Femme,29,Mono,Manager,Support,1/1/2021,435252.99,59275.76,CDD,494528.75
Michelle Cousin,Femme,25,Atlantique,Comptable,Commercial,5/17/2023,437023.34,66845.63,CDD,503868.97000000003
Audrey Lefebvre,Femme,55,Atacora,Commercial,Commercial,5/29/2021,341469.56,5146.34,CDI,346615.9
Éric Reynaud,Homme,48,Atlantique,Manager,Technique,8/16/2023,451105.23,54557.49,CDI,505662.72
Margaux Leclercq-Thibault,Homme,24,Ouémé,Technicien,Technique,1/30/2022,358543.15,93516.08,CDD,452059.23000000004
Susan Grondin,Femme,26,Ouémé,Chargé de clientèle,RH,9/25/2017,307756.45,45453.75,CDI,353210.2
Émilie Guilbert,Femme,33,Donga,Commercial,Technique,5/23/2022,331491.81,36489.05,Stage,367980.86
Chantal Godard,Homme,41,Alibori,Manager,IT,12/20/2018,499288.1,88682.19,CDD,587970.29
Thérèse Teixeira Le Valette,Homme,25,Zou,Développeur,Technique,12/6/2020,430369.77,46139.57,CDI,476509.34
Sophie Lamy,Homme,25,Littoral,Technicien,IT,10/26/2023,106837.57,7328.34,Consultant,114165.91
Marianne Thierry,Homme,56,Atacora,Développeur,Support,9/21/2024,440441.9,106547.81,CDI,546989.71
Marianne-Josette Denis,Femme,30,Atacora,Commercial,Technique,5/16/2016,110617.97,14910.15,CDD,125528.12
Céline Jacquet,Homme,25,Atlantique,Manager,IT,10/28/2016,274521.32,26924.87,CDI,301446.19
Michelle de la Blanchard,Homme,25,Collines,Manager,RH,3/15/2019,492284.57,136276.44,CDD,628561.01
Stéphane-Bertrand Da Costa,Femme,38,Littoral,Chargé de clientèle,IT,9/6/2024,427989.22,118186.49,CDI,546175.71
Denis Rolland,Homme,31,Mono,Développeur,Commercial,11/25/2021,499712.29,138231.42,CDI,637943.71
Thérèse Diaz de Bailly,Femme,56,Littoral,Comptable,IT,7/29/2020,282791.44,56041.66,Consultant,338833.1
Daniel Lebrun,Homme,28,Plateau,Développeur,RH,11/10/2019,94212.81,23006.31,Consultant,117219.12
Yves Loiseau,Homme,58,Borgou,Commercial,Commercial,8/29/2016,122053.2,15162.74,Stage,137215.94
Étienne Guillet de Roussel,Homme,24,Donga,Manager,Commercial,5/3/2020,231412.09,22262.77,Stage,253674.86
Alfred-Léon Pierre,Homme,23,Donga,RH,IT,1/27/2018,453078.61,71855.46,CDD,524934.07
Mathilde Poulain,Homme,26,Littoral,Commercial,IT,3/30/2016,417138.35,97238.69,CDI,514377.04
Margaret Morin,Femme,37,Alibori,Manager,Finance,11/18/2021,327158.91,47231.36,Consultant,374390.26999999996
Honoré Mathieu-Benard,Homme,42,Couffo,Chargé de clientèle,IT,1/2/2017,360145.23,90762.98,CDD,450908.20999999996
Olivier Roussel,Homme,32,Couffo,RH,Support,6/29/2022,472126.55,117269.86,CDI,589396.41
Zacharie Le Goff,Homme,49,Donga,Commercial,Finance,4/17/2021,92495.2,4922.96,CDD,97418.16
Roland Fournier,Femme,23,Plateau,Technicien,Commercial,11/8/2019,421959.48,95855.76,Stage,517815.24
Élodie-Célina Mallet,Femme,30,Zou,Commercial,Support,2/2/2024,411074.04,51763.63,CDD,462837.67
Marguerite Lebrun,Femme,25,Littoral,RH,RH,2/21/2019,164931.93,25182.23,CDD,190114.16
Claudine Blot-Ferreira,Femme,57,Atlantique,Comptable,IT,5/19/2024,481073.42,27416.41,Consultant,508489.82999999996
Alexandrie-Louise Guyot,Homme,31,Atacora,Chargé de clientèle,Support,3/9/2018,210378.42,10061.85,CDI,220440.27000000002
Manon Lecomte-Tessier,Homme,26,Atacora,Comptable,Commercial,8/30/2016,124731.66,31742.05,Stage,156473.71
Alexandrie Girard,Homme,60,Atlantique,Comptable,Technique,11/23/2017,334194.48,83125.54,CDD,417320.01999999996
Claudine Gonzalez,Homme,45,Littoral,Chargé de clientèle,IT,2/4/2017,350067.99,58753.8,Consultant,408821.79
Jeanne Cordier,Femme,38,Ouémé,Commercial,Commercial,10/23/2017,497710.83,40391.31,Stage,538102.14
Gilles Hamel,Femme,49,Atacora,Comptable,Commercial,5/11/2022,257859.74,55567.42,Consultant,313427.16
Matthieu Foucher,Femme,23,Donga,Technicien,Commercial,6/15/2017,145719.59,12428.62,CDI,158148.21
Geneviève-Agathe Barre,Femme,40,Collines,RH,Commercial,6/8/2019,159830.71,17859.39,Consultant,177690.09999999998
Robert Martin,Homme,27,Atacora,Développeur,IT,3/23/2024,141489.32,7582.2,CDI,149071.52000000002
Margot Lefèvre,Homme,51,Mono,Développeur,IT,3/23/2019,338220.36,37590.59,CDI,375810.94999999995
Cécile Barbe,Homme,23,Couffo,RH,Commercial,1/16/2022,372782.12,93981.01,Stage,466763.13
Thierry Marchal,Homme,39,Couffo,RH,Commercial,9/9/2018,398229.96,96602.56,CDD,494832.52
Richard Gonzalez,Homme,50,Donga,Commercial,Finance,1/7/2018,325903.13,91764.92,Stage,417668.05
Sébastien Rousseau,Homme,52,Littoral,Technicien,Commercial,10/4/2019,492612.05,117848.95,CDD,610461
Cécile Launay,Homme,58,Atacora,Technicien,Finance,12/18/2018,143373.03,34542.12,CDI,177915.15
Benjamin Leroy,Femme,42,Mono,Chargé de clientèle,Finance,7/27/2020,287702.83,46780.81,CDI,334483.64
Valentine Nguyen-Henry,Homme,43,Atacora,Chargé de clientèle,IT,7/3/2024,292164.17,1850.26,CDD,294014.43
Gabrielle-Clémence Perrin,Homme,59,Atacora,RH,IT,10/17/2020,355487.88,15793.33,CDI,371281.21
Charles Goncalves,Homme,31,Plateau,Technicien,IT,12/31/2021,183570.06,9712.63,Stage,193282.69
Frédéric Hardy,Femme,58,Zou,Technicien,Finance,5/23/2018,365114.7,38506.44,CDD,403621.14
Émile Ramos,Femme,43,Atacora,Manager,Support,5/15/2024,213131.74,44069.75,CDD,257201.49
Raymond Legrand,Homme,36,Atacora,Chargé de clientèle,Commercial,12/14/2018,372238.76,101883.12,Consultant,474121.88
Benjamin Renard,Homme,37,Mono,Développeur,Technique,12/24/2021,115288.7,194.88,CDD,115483.58
Henri Lombard du Lebrun,Homme,48,Mono,Manager,RH,12/16/2016,344772.48,92071.71,Consultant,436844.19
Michel Chartier,Homme,33,Atlantique,Commercial,RH,11/30/2017,166998.89,32183.29,Stage,199182.18000000002
Anaïs Hamon de la Pasquier,Femme,27,Couffo,Chargé de clientèle,IT,11/8/2022,208924.9,16214.49,CDD,225139.38999999998
Agnès Simon,Femme,51,Borgou,Comptable,Finance,1/23/2023,135876.31,31487.29,CDD,167363.6
Camille Joly,Femme,59,Borgou,Commercial,Finance,4/18/2021,480060.22,87347.31,Consultant,567407.53
Julien Lefèvre-Thierry,Femme,23,Ouémé,Développeur,Commercial,5/24/2023,324781.83,47941.91,CDD,372723.74
Augustin Gosselin-Petit,Homme,43,Zou,Développeur,Finance,9/16/2019,132986.92,3118.05,Stage,136104.97
Thomas Perrier,Homme,53,Alibori,Comptable,IT,12/17/2016,405286.03,4355.49,Consultant,409641.52
Tristan Blot,Homme,31,Atlantique,Commercial,Technique,9/16/2024,137297.98,33871.89,Consultant,171169.87
Inès de la Peltier,Homme,33,Atacora,Manager,Finance,1/9/2024,264243.72,39952.5,Stage,304196.22
Alexandria Marin,Homme,36,Collines,Comptable,Commercial,9/29/2017,194114.86,46267.27,Stage,240382.12999999998
Michel Michel-Durand,Homme,26,Mono,Commercial,Commercial,5/11/2016,238186.05,57356.95,Stage,295543
Théophile Muller,Homme,29,Littoral,Développeur,Finance,7/13/2019,392325.9,36629.25,CDI,428955.15
Inès Le Laine,Femme,39,Plateau,Chargé de clientèle,Technique,10/20/2019,149674.95,20952.91,CDD,170627.86000000002
Louise Dupuy,Femme,29,Atacora,Technicien,Finance,2/21/2017,453085.96,16288.44,CDI,469374.4
Christelle Chrétien,Femme,48,Collines,Manager,Technique,11/10/2015,265710.02,64772.71,Consultant,330482.73000000004
Bertrand Mahe,Homme,58,Mono,Chargé de clientèle,Technique,4/19/2016,374801.46,11695.29,CDI,386496.75
Valentine Brunet Le Bazin,Homme,57,Mono,Comptable,Commercial,7/3/2022,419336.04,70789.49,Consultant,490125.52999999997
Patrick Carlier,Femme,57,Mono,Chargé de clientèle,Finance,12/13/2017,467373.01,97905.29,CDD,565278.3
Claude Martinez,Femme,36,Ouémé,Manager,RH,12/25/2021,187812.66,5269.55,CDI,193082.21
Arnaude Marty,Homme,30,Mono,Technicien,IT,4/1/2020,438886.47,108097.22,Consultant,546983.69
Jacques Toussaint-Pottier,Homme,56,Ouémé,Commercial,Technique,2/12/2020,463622.99,36784.01,CDD,500407
Victor Launay-Masse,Homme,58,Plateau,Commercial,RH,2/5/2016,212143.82,32586.96,CDD,244730.78
